LAT,LON,SIV,REMOTE,FAILSAFE,L_PWM,R_PWM,GPS_HEADING,GPS_SPEED,Setpoint_Speed,Setpoint_Yaw,L_setpoint,R_setpoint
39.9400645,32.8229389,20,1,0,1003,999,199.79,0.41,0.3360713237701113,199.8762825439205,1000.7282331783592,1001.4979122521476
39.9400671,32.8229349,19,1,0,800,800,199.79,0.43,0.3869233140790598,199.8877198874789,806.1281399946214,796.4078309909793
39.9400692,32.8229313,18,0,0,800,800,199.79,0.43,0.4554062901595987,199.80869438642176,794.8041172385517,802.2262488298002
39.9400704,32.8229289,18,0,0,800,800,199.79,0.35,0.3475571182291126,199.76477749485,798.2767940858922,798.2455176696939
39.9400743,32.8229257,18,1,0,1003,800,199.79,0.46,0.4722529182551792,199.6924724720081,1000.3727934484464,799.0906232355626
39.9400787,32.8229234,18,1,0,800,800,259.41,0.51,0.4134227510696968,259.4532036046583,800.9807113257793,801.236940389486
39.9400873,32.8229187,19,1,0,800,800,299.98,0.77,0.7992644960392705,299.8934704003421,794.9200765438314,798.9271632145116
39.9400957,32.8229161,19,1,0,800,800,333.67,0.84,0.8136993253262939,333.5653832411483,798.8038342221121,798.8843217546535
39.9400973,32.8229158,19,1,0,800,800,333.67,0.4,0.3995008564768152,333.52737478641245,800.971044885109,800.9987107176429
39.9400993,32.8229175,19,1,0,800,800,333.67,0.31,0.2116716695087324,333.63865320619027,800.0814644284819,795.6462143739496
39.9401013,32.8229195,18,1,0,1003,999,333.67,0.28,0.2725318719849758,333.7646761779635,1001.6149817614968,996.5956248205092
39.9401015,32.8229228,18,1,0,800,800,333.67,0.41,0.3977853910440482,333.6584540218857,804.3877398430802,802.2264603135089
39.9401041,32.8229272,18,1,0,800,800,333.67,0.59,0.5636639514198227,333.9721768215909,807.7488006236465,805.5795946601827
39.9401098,32.8229301,18,1,0,1002,800,349.22,0.74,0.7900892690954544,349.2894848899043,1002.029732504362,799.1765520665773
39.9401141,32.8229377,16,1,0,1002,999,349.22,0.85,0.8104682753445901,349.2401758318253,1002.7861344818616,997.6767276822844
39.9401162,32.8229506,17,1,0,800,800,23.08,1.18,1.214802794456667,23.159818138864093,799.5804543748487,803.6713429247382
39.9401182,32.8229603,17,1,0,1002,998,23.08,1.03,1.1038837429844508,23.19507829947729,1002.5090248525796,997.5006307704396
39.94012,32.8229659,17,1,0,800,800,23.08,0.79,0.8616455576481374,23.168088110269323,802.8906281236215,799.1832836282596
39.9401177,32.8229725,17,1,0,1003,999,23.08,0.65,0.5968856854344138,23.1161615742327,1002.6635905035604,996.7198288652248
39.9401163,32.8229854,18,1,0,800,800,56.87,0.9,0.8833159364676313,56.82258847540773,803.8616205190665,799.1582287414096
39.9401172,32.8229905,18,1,0,800,800,56.87,0.7,0.7105074029737315,56.952247438979605,799.0274122020966,797.0139411640203
39.9401222,32.8229913,18,0,0,800,800,56.87,0.59,0.5382302921662353,56.885380777973005,800.6642605364068,798.6339142914137
39.9401321,32.8229771,18,1,0,1002,800,7.69,1.1,1.0647926073039653,7.60933379521519,997.1667497067004,799.2244172018773
39.9401358,32.8229797,17,1,0,1002,800,7.69,0.61,0.6307730669716552,7.448425612102697,998.0309093875612,805.2896561000458
39.9401368,32.8229882,17,1,0,1003,800,7.69,0.56,0.6182265874364612,7.864159613427462,998.0880158698868,795.9362962952504
